# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = IQStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = IQStan.data.json
# init = 2 (Default)
# random
#   seed = 3026686953 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,sigma
# Adaptation terminated
# Step size = 0.451838
# Diagonal elements of inverse mass matrix:
# 0.00416806, 0.00317954, 0.00302106, 0.147874
-5.92553,0.772325,0.451838,3,7,0,7.42987,92.9201,108.892,161.397,7.13818
-3.43161,0.920774,0.451838,2,5,0,6.74389,95.5633,111.036,154.884,5.36258
-6.24159,0.867015,0.451838,2,7,0,6.97113,99.5759,107.535,160.714,5.90144
-5.24844,0.992112,0.451838,3,7,0,8.25918,91.2704,105.93,157.23,5.40256
-5.54496,0.962163,0.451838,3,7,0,7.42755,99.1491,107.219,159.245,6.18869
-3.67291,0.905647,0.451838,3,7,0,7.17796,96.7089,109.617,152.625,4.66963
-3.20439,1,0.451838,2,3,0,3.75975,95.7338,108.742,155.08,4.39345
-3.31643,0.995541,0.451838,2,7,0,3.41217,94.6161,108.435,154.64,4.84141
-3.51544,0.979809,0.451838,3,7,0,3.7601,96.3398,111.172,156.775,4.76219
-6.16036,0.82885,0.451838,2,3,0,7.42676,99.8473,107.625,156.612,3.93913
-3.76024,1,0.451838,3,7,0,7.02505,95.1752,107.778,156.165,3.89626
-3.25142,0.857255,0.451838,2,3,0,9.18289,95.146,111.269,154.58,4.86706
-4.8257,0.910148,0.451838,2,7,0,4.95667,97.6465,110.442,158.947,4.35326
-3.87597,0.999507,0.451838,3,7,0,5.64996,93.3581,111.34,152.4,5.02486
-4.04773,0.899972,0.451838,3,7,0,6.37547,97.0809,108.449,157.608,5.283
-4.83406,0.945577,0.451838,2,7,0,5.31473,99.6454,107.77,155.651,4.87076
-4.03129,0.986405,0.451838,3,7,0,5.73347,92.0903,110.64,154.08,5.72345
-3.12427,0.971488,0.451838,1,3,0,6.2984,95.3535,109.786,154.092,4.20665
-3.67824,0.905789,0.451838,2,3,0,4.1567,94.7854,109.705,152.403,5.2355
-6.78806,0.754865,0.451838,3,7,0,8.3269,88.8754,110.335,160.579,5.66844
-6.82257,1,0.451838,3,7,0,8.51065,103.618,109.907,152.742,6.87764
-8.11173,0.968048,0.451838,3,7,0,10.8917,94.371,108.023,165.033,6.03535
-12.7723,0.656973,0.451838,2,3,0,12.9686,94.7043,106.674,167.505,5.14684
-8.19912,1,0.451838,3,7,0,13.6026,91.647,103.989,161.618,10.5978
-11.2839,0.953893,0.451838,3,7,0,12.4533,107.913,116.283,163.384,8.34305
-8.15988,0.939082,0.451838,3,7,0,12.9576,90.2727,104.295,148.632,5.55736
-9.7566,0.655758,0.451838,3,7,0,12.137,90.6135,117.826,158.844,14.267
-3.20631,0.986649,0.451838,3,7,0,9.70106,94.6011,110.958,156.041,4.3595
-3.68847,0.927321,0.451838,3,7,0,4.84514,96.462,110.5,155.102,5.75278
-5.25991,0.930768,0.451838,2,3,0,5.4031,90.0447,109.354,153.245,4.38241
-5.12229,0.998784,0.451838,3,7,0,6.94184,100.376,111.16,156.904,5.98072
-4.34767,0.922847,0.451838,3,7,0,6.18213,91.2271,108.891,153.18,4.97108
-5.57986,0.989299,0.451838,2,7,0,6.28438,89.2217,111.151,155.845,7.06574
-5.19348,0.967831,0.451838,3,7,0,8.43519,100.552,108.736,155.838,6.36752
-5.75275,0.955903,0.451838,3,7,0,8.02282,95.152,115.894,151.268,6.14243
-4.45489,0.981384,0.451838,3,7,0,6.5714,93.2069,106.52,157.198,4.81443
-4.92105,0.958997,0.451838,3,7,0,6.0948,97.3081,113.713,158.349,5.51989
-6.49982,0.939006,0.451838,2,7,0,7.12655,96.8702,112.622,162.584,6.28503
-5.10243,1,0.451838,2,3,0,6.50869,95.0904,111.983,159.617,6.78602
-3.49806,0.969924,0.451838,3,7,0,6.89599,93.9463,109.159,153.356,5.07694
-6.37051,0.871471,0.451838,2,7,0,6.69704,96.4453,102.632,157.603,6.1776
-4.76722,0.936876,0.451838,2,7,0,8.0972,95.9825,106.032,155.202,6.64942
-4.27627,1,0.451838,2,7,0,4.93762,94.0654,106.638,155.217,6.0041
-3.65591,0.992762,0.451838,3,7,0,4.65066,96.008,110.287,153.718,5.66201
-5.90895,0.866006,0.451838,2,3,0,6.66948,101.404,110.888,157.984,5.53271
-5.30353,1,0.451838,3,7,0,6.85354,92.4622,110.275,149.438,5.83883
-5.86377,0.950915,0.451838,3,7,0,6.60682,97.081,109.78,159.858,3.90708
-3.56051,0.794001,0.451838,2,3,0,7.53793,95.519,108.196,156.241,5.17767
-5.17634,0.900631,0.451838,2,5,0,5.20695,93.1292,114.504,152.032,4.91865
-5.4936,0.817598,0.451838,3,7,0,8.84329,92.2796,106.06,151.096,6.58375
-9.1861,0.792492,0.451838,2,3,0,10.526,97.0291,113.097,157.672,2.78266
-8.34179,1,0.451838,3,7,0,8.91714,90.1476,103.605,148.697,10.5015
-6.54557,0.992755,0.451838,3,11,0,13.4622,91.1336,105.183,154.592,8.86668
-10.8904,0.944633,0.451838,2,3,0,12.7224,99.331,99.4128,150.77,5.47601
-8.82019,1,0.451838,3,7,0,11.3708,97.5111,106.277,151.828,13.3548
-3.83375,0.965004,0.451838,3,7,0,10.21,93.3155,110.583,157.145,5.49682
-5.66998,0.945368,0.451838,3,7,0,5.93722,96.3725,113.025,160.74,5.29201
-5.66054,0.948159,0.451838,3,7,0,11.3379,92.3544,109.312,149.149,6.78749
-6.11706,0.96695,0.451838,3,7,0,6.62915,97.3327,109.718,159.173,3.54758
-3.4288,1,0.451838,2,3,0,5.90666,95.0822,111.176,153.065,4.65384
-4.63487,0.870892,0.451838,2,3,0,5.588,92.5103,112.801,158.176,5.095
-3.97311,0.768489,0.451838,3,7,0,9.51608,95.4225,107.733,153.081,3.95238
-3.5526,0.981568,0.451838,3,7,0,4.43284,92.9395,110.054,156.252,4.99117
-3.94494,0.853236,0.451838,2,3,0,5.85146,91.765,110.316,153.716,5.00985
-3.75874,0.974137,0.451838,2,7,0,4.77633,93.9145,111.529,157.464,4.92549
-7.72191,0.679712,0.451838,3,7,0,10.5409,96.8951,108.706,151.479,11.5579
-4.48008,0.976947,0.451838,3,7,0,8.14955,93.9503,110.662,157.045,3.32376
-3.72288,0.98585,0.451838,3,7,0,5.09743,93.8816,109.409,156.21,5.72598
-4.95626,0.887406,0.451838,2,7,0,6.96308,91.3822,107.715,153.771,6.77871
-5.11453,0.995614,0.451838,3,7,0,6.15317,92.9293,105.886,152.409,6.5292
-3.43446,0.984076,0.451838,2,7,0,5.31576,95.8607,108.102,155.778,4.33198
-5.36729,0.809613,0.451838,2,3,0,6.14764,98.4401,109.616,157.252,3.56646
-4.48226,1,0.451838,2,3,0,5.86863,97.8558,111.628,155.905,3.7137
-3.52341,0.97967,0.451838,2,3,0,5.17236,93.8567,111.051,156.639,4.08459
-3.07767,0.982499,0.451838,2,3,0,3.75319,95.0218,110.746,155.001,4.3167
-3.37364,0.87439,0.451838,2,3,0,6.3088,94.0402,109.365,154.435,3.7782
-4.56827,0.771424,0.451838,3,7,0,5.80623,96.5828,111.533,156.405,6.90178
-4.77772,0.990005,0.451838,3,7,0,5.54603,99.1758,109.88,152.516,4.49733
-5.099,0.869333,0.451838,3,7,0,7.02588,92.8373,108.576,157.442,7.41162
-5.81762,0.960798,0.451838,2,7,0,7.76948,89.3066,110.244,158.581,6.86333
-5.57659,0.939628,0.451838,3,7,0,8.81884,99.9537,107.14,155.099,7.3367
-7.59599,0.97723,0.451838,2,3,0,7.88392,104.618,108.236,153.873,8.92785
-7.18219,0.944397,0.451838,3,7,0,9.72284,94.3067,112.031,146.684,8.88489
-4.41674,0.989842,0.451838,3,7,0,7.62776,99.1765,108.505,154.028,4.9703
-3.42411,0.994305,0.451838,3,7,0,4.81457,95.9787,109.83,156.234,5.21388
-3.44352,0.904489,0.451838,3,7,0,5.53208,94.199,111.028,153.56,5.06979
-3.51396,0.997818,0.451838,2,3,0,3.54523,94.3277,111.223,153.153,5.0013
-3.47062,0.999318,0.451838,3,7,0,3.77559,95.1702,111.787,154.174,5.1458
-3.84983,0.980663,0.451838,2,3,0,4.26049,93.8708,109.071,156.474,3.5983
-4.46595,0.89189,0.451838,2,3,0,5.75951,96.4165,109.137,153.748,3.23782
-3.74413,0.950486,0.451838,2,3,0,5.22844,94.6533,110.096,156.821,5.74485
